S_no,furnished_status,facing,car_parking,type_of_ownership,booking_amount,buy_total_price
848,Semi-Furnished,East,0,,,3999000
849,Furnished,South-East,2,,,23500000
851,Furnished,West,1,,,3000000
852,Semi-Furnished,East,1,,,6500000
855,Furnished,West,0,,,2750000
856,Furnished,North,0,,,8600000
857,Furnished,South-East,1,,,5000000
859,Unfurnished,East,1,,,111111
860,Unfurnished,East,1,,,5500000
863,Furnished,North-East,0,,,3050000
864,Semi-Furnished,North-East,1,,,6951000
865,Semi-Furnished,West,,,,7500000
866,Furnished,South-East,1,,,5800000
867,Furnished,West,,,,7500000
868,Furnished,,1,,,3950000
869,Unfurnished,North-East,0,,,8500000
870,Unfurnished,North,2,,,9000000
871,Semi-Furnished,South,1,,,4100000
872,Semi-Furnished,North-West,1,,,5849999
873,Semi-Furnished,East,2,,,5699999
874,Furnished,West,2,,,6500000
875,Furnished,East,0,,,6000000
876,Semi-Furnished,East,1,,,5400000
877,Unfurnished,East,1,,,3200000
878,Semi-Furnished,North,1,,,4500000
879,Unfurnished,South,0,,,6000000
880,Furnished,West,2,,,4000000
881,Furnished,,1,,,2700000
882,Unfurnished,West,1,,,3000000
883,Furnished,North-West,1,,,9900000
884,Semi-Furnished,South,1,,,3510000
886,Semi-Furnished,South,0,,,7000000
890,Semi-Furnished,North-West,0,,,12500
891,Semi-Furnished,North,2,,,14000000
892,Semi-Furnished,East,2,,,4000000
893,Furnished,North,1,,,2550000
894,Furnished,South-East,0,,,6500000
895,Semi-Furnished,East,1,,,6600000
896,Unfurnished,,1,,,4200000
897,Semi-Furnished,South,1,,,7600000
898,Unfurnished,East,0,,,1200000
899,Semi-Furnished,East,1,,,3100000
900,Unfurnished,South-West,3,,,18000000
901,Semi-Furnished,East,2,,,9600000
902,Furnished,South,1,,,8500000
903,Unfurnished,,,,,3800000
904,Furnished,West,1,,,10000
905,Furnished,West,1,,,4600000
906,Furnished,East,2,,,22500000
907,Semi-Furnished,North-West,2,,,4100100
908,Unfurnished,North-East,3+,,,22500000
909,Semi-Furnished,South-East,1,,,5500000
911,Semi-Furnished,North-East,2,,,11400000
912,Semi-Furnished,North,0,,,2000000
913,Furnished,West,0,,,5000000
915,Furnished,South,1,,,5000000
917,Semi-Furnished,,,,,24000000
919,Unfurnished,East,1,,,2999999
920,Unfurnished,West,0,,,7500000
921,Semi-Furnished,East,1,,,7200000
924,Furnished,East,1,,,6200000
925,Semi-Furnished,East,1,,,5100000
928,Furnished,West,1,,,2970000
929,Furnished,West,1,,,3370000
930,Furnished,North-West,3+,,,13000000
931,Unfurnished,East,0,,,2450000
932,Furnished,North,,,,9821000
933,Unfurnished,East,0,,,1300000
934,Furnished,North,,,,9811000
935,Furnished,North,,,,9841000
936,Unfurnished,West,3+,,,18500000
938,Semi-Furnished,East,1,,,2600000
940,Semi-Furnished,West,1,,,9000000
941,Semi-Furnished,North-East,0,,,6200000
942,Semi-Furnished,East,2,,,9000000
943,Semi-Furnished,South,1,,,3499999
945,Furnished,West,1,,,10000001
946,Semi-Furnished,North,1,,,2000000
951,Semi-Furnished,East,1,,,4699999
952,Unfurnished,North-East,1,,,2750000
953,Semi-Furnished,East,1,,,4599999
955,Furnished,West,1,,,10000000
957,Semi-Furnished,North,2,,,13500000
959,Semi-Furnished,North-East,2,,,9490000
960,Furnished,West,2,,,9800000
961,Semi-Furnished,East,1,,,4295000
962,Semi-Furnished,South,2,,,25000000
963,Semi-Furnished,North,2,,,9690000
964,Furnished,East,1,,,5990000
966,Unfurnished,East,1,,,10000
967,Unfurnished,East,,,,1550000
968,Furnished,East,2,,,19900000
970,Furnished,South,1,,,7290000
971,Semi-Furnished,East,1,,,3500000
972,Furnished,East,1,,,7390000
979,Unfurnished,,3+,,,10500000
980,Furnished,West,1,,,3355000
981,Semi-Furnished,,1,,,5990000
989,Semi-Furnished,North,1,,,3899999
990,Unfurnished,North-East,1,,,3490000
993,Furnished,South-West,1,,,1650000
994,Furnished,South-West,1,,,2500000
995,Furnished,North-East,1,,,3800000
996,Furnished,,3+,,,35000000
997,Furnished,North,,,,9866000
999,Semi-Furnished,West,1,,,3200000
1001,Unfurnished,North-East,1,,,6500000
1003,Semi-Furnished,,,,,25500000
1005,Furnished,West,1,,,2670000
1006,Furnished,North-East,1,,,4165000
1007,Furnished,West,1,,,2665000
1008,Furnished,West,1,,,4170000
1010,Unfurnished,South,1,,,1500000
1012,Furnished,North-East,2,,,6491100
1013,Unfurnished,North-East,2,,,6000000
1014,Semi-Furnished,,,,,10000
1016,Furnished,North,0,,,1350000
1018,Semi-Furnished,West,1,,,3200001
1019,Semi-Furnished,South,1,,,5750000
1020,Furnished,North,3+,,,15000000
1021,Unfurnished,East,,,,3000000
1022,Semi-Furnished,South-East,1,,,1100000
1023,Furnished,North-East,1,,,4157000
1024,Semi-Furnished,North-East,1,,,9890022
1025,Semi-Furnished,North-East,1,,,8000000
1026,Furnished,South-East,1,,,7770000
1027,Semi-Furnished,East,1,,,3750000
1028,Unfurnished,,1,,,7000000
1029,Furnished,East,3+,,,15000000
1030,Semi-Furnished,East,2,,,15500000
13,Semi-Furnished,,1,,,2000000
1032,Semi-Furnished,,0,,,3050000
1033,Semi-Furnished,West,0,,,2875000
1034,Semi-Furnished,West,1,,,4450000
1035,Semi-Furnished,West,1,,,3050000
1036,Furnished,North,1,,,8550000
1037,Furnished,West,1,,,3177000
1038,Furnished,West,1,,,3357000
1039,Unfurnished,West,0,,,3000000
1041,Semi-Furnished,East,2,,,6800022
1042,Semi-Furnished,West,1,,,4000004
1044,Furnished,West,1,,,6800000
1045,Semi-Furnished,North-East,1,,,6800011
1047,Furnished,South,1,,,4450000
1048,Furnished,North-West,1,,,3170000
1050,Semi-Furnished,East,2,,,14000000
1051,Semi-Furnished,East,2,,,8300000
1052,Semi-Furnished,,,,,6280000
1053,Semi-Furnished,,2,,,25500000
1054,Furnished,,,,,9845500
1055,Semi-Furnished,North,3+,,,9500000
1056,Unfurnished,,,,,15000000
1057,Furnished,East,1,,,2200000
1058,Semi-Furnished,North,3,,,22500000
1060,Unfurnished,West,1,,,4600000
1061,Semi-Furnished,North,,,,36000000
1062,Furnished,East,2,,,26500000
1063,Semi-Furnished,West,2,,,18500000
1064,Semi-Furnished,South,2,,,18500000
1065,Semi-Furnished,North,1,,,9500000
1066,Semi-Furnished,West,1,,,6500000
1067,Furnished,,1,,,6490000
1068,Furnished,West,1,,,6950000
1069,Furnished,North,,,,9845000
1070,Semi-Furnished,East,1,,,9600000
1071,Furnished,East,1,,,9890000
1072,Semi-Furnished,North,2,,,6000000
1073,Semi-Furnished,North-West,2,,,3800000
1076,Semi-Furnished,North,2,,,29000000
1077,Semi-Furnished,North,1,,,9000000
1078,Semi-Furnished,South,1,,,8100000
1079,Semi-Furnished,West,2,,,12500000
1080,Semi-Furnished,North,2,,,11500000
1081,Semi-Furnished,South,2,,,14000000
1082,Semi-Furnished,North,2,,,12000000
1084,Furnished,East,1,,,13100000
1085,Furnished,North,2,,,7500000
1086,Semi-Furnished,,,,,6251000
1088,Furnished,,2,,,9500000
1090,Semi-Furnished,East,1,,,3675000
1091,Semi-Furnished,North,1,,,3400000
1092,Semi-Furnished,East,1,,,3400000
1094,Semi-Furnished,North,3,,,36000000
1095,Semi-Furnished,East,0,,,2450000
1096,Semi-Furnished,East,0,,,2200000
1097,Furnished,East,2,,,9890000
1099,Semi-Furnished,,1,,,4890000
1101,Semi-Furnished,North-East,2,,,3330000
1102,Furnished,North-East,2,,,6000000
1103,Semi-Furnished,West,,,,1675000
1104,Semi-Furnished,South,2,,,4500000
1105,Unfurnished,North,2,,,2700000
1107,Semi-Furnished,East,1,,,1999999
1108,Furnished,West,1,,,11100000
1109,Furnished,North,2,,,35100000
1110,Semi-Furnished,East,1,,,3000000
1113,Furnished,East,1,,,5290000
1114,Semi-Furnished,East,1,,,6890000
1115,Semi-Furnished,East,2,,,7390000
1116,Furnished,East,1,,,9889000
1117,Furnished,East,3+,,,3000000
1118,Semi-Furnished,North-East,,,,1200000
1119,Semi-Furnished,West,2,,,11500000
1121,Semi-Furnished,West,2,,,8890000
1123,Semi-Furnished,East,1,,,22000000
1124,Semi-Furnished,South,1,,,2400000
1125,Furnished,North-East,1,,,12500000
1127,Furnished,North-East,1,,,5800000
1128,Furnished,,,,,2800000
1129,Semi-Furnished,West,2,,,25100000
1130,Furnished,West,0,,,1500000
1131,Furnished,,,,,2750000
1133,Unfurnished,,1,,,6500000
1134,,North,1,,,3999999
1135,Semi-Furnished,East,1,,,3200001
1136,Furnished,South,0,,,2600000
1138,Furnished,East,3+,,,11000000
1139,Semi-Furnished,North,2,,,5690000
1140,Furnished,North,0,,,5000000
1141,Furnished,North,0,,,3000000
1142,Semi-Furnished,East,2,,,8420000
1144,Semi-Furnished,East,1,,,6100000
1145,Unfurnished,East,2,,,1600000
1146,Furnished,North-East,2,,,11000000
1148,Semi-Furnished,East,,,,6000000
1149,Furnished,South-East,0,,,3000000
1152,Semi-Furnished,East,1,,,2700000
1153,Furnished,South,1,,,1600000
1154,Furnished,,,,,3000000
1156,Furnished,West,0,,,1300000
1157,Furnished,East,3,,,26000000
1158,Furnished,East,3+,,,26000000
1160,Furnished,,,,,9819000
1161,Semi-Furnished,North,1,,,9800000
1162,,North-East,2,,,23500000
1163,Furnished,North,1,,,3999999
1164,Semi-Furnished,East,,,,5200000
1165,Semi-Furnished,West,2,,,15000000
1166,Unfurnished,South-East,1,,,3690000
1168,Unfurnished,North,0,,,3550000
1170,Furnished,,1,,,6700000
1171,Furnished,North-West,2,,,3590700
1173,Semi-Furnished,,1,,,6498500
1174,Semi-Furnished,North-East,,,,15000000
1176,Semi-Furnished,East,1,,,1700000
1177,Semi-Furnished,West,1,,,9900000
1178,Semi-Furnished,South,1,,,1700000
1181,Semi-Furnished,North,3,,,8500000
1182,Furnished,West,1,,,4700000
1183,Furnished,West,1,,,3377000
1184,Furnished,West,1,,,4151500
1186,Furnished,,0,,,1450000
1187,Unfurnished,,,,,5200000
1189,Semi-Furnished,,1,,,6499000
1190,,,,,,3600000
1191,Semi-Furnished,North-West,2,,,7690000
1192,Furnished,North,3,,,55100000
1193,Furnished,East,1,,,12900000
1194,Furnished,West,,,,18500000
1195,Semi-Furnished,North-East,0,,,1800000
1197,Furnished,West,1,,,3170000
1198,Semi-Furnished,South-East,1,,,2870000
1199,Furnished,West,1,,,2657000
1201,Furnished,West,1,,,2960000
1202,Unfurnished,South-West,1,,,3600000
1204,Unfurnished,North,1,,,3500000
1205,,West,1,,,3200001
1206,Semi-Furnished,North-West,1,,,2250000
1207,Furnished,,2,,,2200000
1208,Furnished,North-West,1,,,3150000
1210,Semi-Furnished,South-West,2,,,1600000
1212,Semi-Furnished,North,1,,,2675000
1213,Semi-Furnished,North,1,,,2975000
1214,Unfurnished,North-East,0,,,2100000
1215,Semi-Furnished,West,0,,,2250000
1216,Furnished,East,2,,,1600000
1217,Semi-Furnished,East,3,,,35000000
1218,Semi-Furnished,East,1,,,3050000
1219,Semi-Furnished,East,2,,,14500000
1220,Semi-Furnished,East,3,,,25000000
1221,Semi-Furnished,North-East,2,,,16000000
1222,Semi-Furnished,North-East,1,,,3490000
1223,Semi-Furnished,South-East,1,,,3790000
1224,Semi-Furnished,South-East,1,,,4990000
1225,Semi-Furnished,North-East,1,,,5990000
1226,Unfurnished,,,,,6500000
1227,Semi-Furnished,East,1,,,4300000
1229,Semi-Furnished,South,1,,,8500000
1230,Semi-Furnished,North-East,1,,,7390000
1231,Furnished,North-East,1,,,12500
1232,Semi-Furnished,East,1,,,5290001
1233,Semi-Furnished,South,2,,,4350000
1234,Furnished,,,,,49000000
1235,Semi-Furnished,East,1,,,4590011
1236,Semi-Furnished,North-East,1,,,7590015
1237,Semi-Furnished,North,1,,,2500000
1238,Semi-Furnished,East,1,,,3199999
1239,Furnished,East,1,,,3500000
1240,Semi-Furnished,North-East,1,,,9890011
1241,Semi-Furnished,North,1,,,4000001
1243,Semi-Furnished,East,3,,,30000000
1245,Furnished,West,1,,,6970000
1246,Unfurnished,West,0,,,1750000
1247,Furnished,South,0,,,1300000
1248,Semi-Furnished,East,3+,,,6990000
1249,Semi-Furnished,South,2,,,9500000
1250,Semi-Furnished,East,1,,,6590000
1252,Semi-Furnished,South,1,,,2350000
1253,Furnished,,2,,,11500000
1254,Furnished,East,0,,,1600000
1255,Semi-Furnished,South-West,2,,,16500000
1257,Semi-Furnished,North-West,2,,,12000000
1259,Semi-Furnished,South,2,,,16000000
1261,Semi-Furnished,West,2,,,18900000
1262,Semi-Furnished,East,2,,,12000000
1263,Semi-Furnished,North-East,3+,,,30000000
1264,Furnished,,,,,9600000
1265,Semi-Furnished,North-East,2,,,11450000
1266,Semi-Furnished,North,1,,,4599000
1267,Unfurnished,East,2,,,4000000
1269,Unfurnished,West,1,,,6500000
1270,Unfurnished,North-East,0,,,5700000
1271,Unfurnished,East,0,,,800000
1272,Semi-Furnished,,2,,,16200000
1274,Semi-Furnished,North-East,2,,,5299999
1275,Unfurnished,North,0,,,2200000
1276,Furnished,North-West,2,,,6250000
1277,Furnished,East,0,,,3700000
1278,Semi-Furnished,,1,,,1200000
1279,Semi-Furnished,,,,,6155000
1280,Unfurnished,North,0,,,2700000
1281,Semi-Furnished,,,,,3200000
1282,Unfurnished,North,0,,,950000
1283,Unfurnished,North-East,3,,,4500000
1284,Unfurnished,North-East,,,,10000000
1285,Unfurnished,,1,,,4500000
1286,Furnished,North-East,3,,,8590000
1287,Semi-Furnished,East,0,,,1350000
1290,Furnished,East,1,,,12000000
1291,Furnished,East,1,,,11200000
1292,Furnished,East,2,,,9690000
1293,Furnished,,,,,4000000
1294,Semi-Furnished,East,1,,,2395000
1295,Furnished,,1,,,4500000
1296,Furnished,West,1,,,4300000
1297,Furnished,North-West,2,,,5000000
1298,Semi-Furnished,North-East,1,,,2700000
1299,Furnished,North,3,,,3750000
1300,Unfurnished,East,1,,,2150000
1303,Semi-Furnished,,,,,6290000
1304,Semi-Furnished,East,1,,,5290005
1306,Furnished,,,,,3500000
1307,Furnished,,1,,,4700000
1309,Semi-Furnished,,,,,33000000
1310,Semi-Furnished,West,1,,,3200002
1311,Furnished,East,1,,,4890000
1313,Semi-Furnished,West,1,,,3800001
1314,Furnished,West,1,,,12000
1315,Furnished,East,2,,,9990000
1316,Semi-Furnished,,,,,15500000
1317,Semi-Furnished,,1,,,7490000
1318,Semi-Furnished,,1,,,4200000
44,Semi-Furnished,,,,,26500000
1320,Furnished,North-East,,,,6000000
1323,Furnished,North,0,,,2900000
1324,Semi-Furnished,North-East,2,,,5890000
1325,Semi-Furnished,East,1,,,5290022
1329,Furnished,East,2,,,7390000
1331,Furnished,East,1,,,5890000
1332,Semi-Furnished,,,,,6211000
1333,Semi-Furnished,North,1,,,1999999
1335,Semi-Furnished,West,0,,,1800000
1336,Furnished,,,,,9901000
1337,Furnished,West,1,,,9999999
1339,Furnished,West,,,,5000000
1340,Semi-Furnished,,2,,,2500000
1341,Semi-Furnished,East,1,,,7590001
1342,Unfurnished,North,1,,,2399000
1343,Furnished,East,2,,,6490000
1344,Semi-Furnished,North-East,1,,,3200000
1345,Semi-Furnished,South,1,,,7490000
1346,Semi-Furnished,North,2,,,9500000
1347,Semi-Furnished,South-East,2,,,9200000
1348,Semi-Furnished,,,,,6185000
1349,Furnished,North,,,,9877000
1350,Unfurnished,South-West,3+,,,8000000
1351,Furnished,West,1,,,2965000
1355,Semi-Furnished,North,1,,,3999999
1356,Semi-Furnished,North,0,,,4600000
1357,Furnished,North-East,2,,,16000000
1358,Semi-Furnished,South-East,2,,,11000000
1359,Semi-Furnished,North-East,1,,,2000000
1360,Unfurnished,North,1,,,7500000
1361,Furnished,North,3+,,,26000000
1362,Furnished,East,2,,,6890000
1363,Semi-Furnished,East,1,,,5190000
1364,Semi-Furnished,West,1,,,10000000
1365,Furnished,East,1,,,6800000
1366,Furnished,East,1,,,1750000
1367,Unfurnished,North,1,,,17900000
1370,Unfurnished,South-East,1,,,1780000
1371,Furnished,East,0,,,2649000
1372,Semi-Furnished,South-East,0,,,2100000
1373,Furnished,,0,,,3000000
1374,Furnished,,3+,,,4500000
1379,Furnished,East,1,,,850000
1380,Furnished,East,0,,,3000000
1381,Unfurnished,,,,,6000000
1382,Semi-Furnished,North,1,,,4150000
1383,Semi-Furnished,South-East,1,,,2250000
1384,Semi-Furnished,South-East,,,,11000000
1385,Unfurnished,,3+,,,8500000
1386,Semi-Furnished,,2,,,8200000
1388,Semi-Furnished,East,1,,,5800000
1390,Semi-Furnished,South,,,,5800000
1391,Semi-Furnished,West,1,,,27000000
1392,Furnished,North,2,,,6900000
1393,Unfurnished,South,1,,,7500000
1394,Semi-Furnished,North,0,,,5600000
1395,Unfurnished,South,1,,,6000000
1396,Unfurnished,,2,,,14000000
1397,Semi-Furnished,South-East,1,,,35000000
1398,Furnished,East,,,,1600000
1399,Furnished,East,1,,,8000000
1400,Unfurnished,East,0,,,2050000
1401,Furnished,East,1,,,1000000
1403,Unfurnished,,,,,30000000
1405,Furnished,,1,,,6200000
1406,Unfurnished,,,,,8000000
1409,Unfurnished,East,0,,,3200000
1410,Semi-Furnished,North-West,1,,,8700000
1411,Unfurnished,West,0,,,550000
1412,Furnished,North-East,0,,,13500
1413,Furnished,East,1,,,1600000
1414,Furnished,North,2,,,12000000
1415,Semi-Furnished,South,0,,,1799999
1416,Semi-Furnished,North-East,1,,,18000000
1417,Unfurnished,East,0,,,2700000
1418,Unfurnished,North-East,3+,,,12000000
1419,Semi-Furnished,South-East,,,,7500000
1420,Semi-Furnished,East,0,,,2100000
1422,Furnished,North-East,0,,,3700000
1424,Unfurnished,East,1,,,3665000
1425,Furnished,,1,,,13000000
1427,Unfurnished,West,1,,,4000000
1428,Furnished,East,1,,,4800000
1429,Semi-Furnished,,1,,,5300000
1430,Semi-Furnished,East,1,,,35000
1431,Unfurnished,East,0,,,1700000
1434,Furnished,South-East,0,,,4000000
1435,Semi-Furnished,South,2,,,9900000
1437,Semi-Furnished,North,1,,,2800000
1438,Unfurnished,North,2,,,15700000
1439,Furnished,East,1,,,3000000
1440,Furnished,West,0,,,3500000
1441,Furnished,North,1,,,1700000
1442,Unfurnished,South-East,2,,,4200000
1443,Unfurnished,West,2,,,24000000
1444,Semi-Furnished,North,2,,,6990000
1445,Unfurnished,East,3+,,,50000000
1446,Unfurnished,,0,,,4800000
1448,Semi-Furnished,South,0,,,2000000
1449,Semi-Furnished,North-West,0,,,1500000
1450,Furnished,North,1,,,4700000
1451,Furnished,North,1,,,7900000
1453,Semi-Furnished,West,2,,,32500000
1454,Semi-Furnished,South-West,1,,,5300000
1455,Unfurnished,East,,,,5500000
1456,Furnished,South,2,,,12000000
1457,Unfurnished,,1,,,7790000
1458,Unfurnished,East,1,,,18000000
1459,Unfurnished,East,2,,,15000000
1461,Unfurnished,East,1,,,1850000
1462,Furnished,North,,,,1600000
1463,Semi-Furnished,East,,,,3300000
1464,Semi-Furnished,East,1,,,9500000
1465,Furnished,East,2,,,14000000
1466,Furnished,East,0,,,2000000
1467,Semi-Furnished,North-West,2,,,15000000
1468,Semi-Furnished,East,0,,,1200000
1469,Unfurnished,North,1,,,15000000
1470,Unfurnished,,,,,2600000
1471,Semi-Furnished,,,,,2000000
1472,Furnished,North-West,2,,,1150000
1473,Unfurnished,North,,,,2000000
1474,Furnished,North,0,,,2300000
1475,Furnished,East,,,,4900000
1476,Semi-Furnished,North-East,0,,,2600000
1477,Furnished,North,0,,,3500000
1479,Unfurnished,,0,,,3200000
1481,Furnished,North-East,0,,,16900
1482,Furnished,West,3,,,4825000
1483,Furnished,East,1,,,37500000
1484,Semi-Furnished,North,0,,,2400000
1485,Unfurnished,North-East,3+,,,7500000
1486,Unfurnished,,1,,,11000
1487,Furnished,,0,,,3800000
1488,Unfurnished,West,0,,,5500000
1489,Unfurnished,North-West,0,,,10000
1490,Semi-Furnished,North,,,,7000000
1491,Unfurnished,South-West,2,,,3600000
1492,Unfurnished,North,0,,,2150000
1493,Unfurnished,North-East,1,,,1700000
1494,Furnished,West,0,,,1700000
1495,Unfurnished,North-East,3+,,,18000000
1496,Semi-Furnished,East,1,,,5600000
1498,,North,3+,,,18000000
1499,Unfurnished,North,3+,,,18000000
1500,Unfurnished,East,1,,,2370000
1501,Unfurnished,East,1,,,8500000
1504,Unfurnished,North,2,,,1550000
1505,Semi-Furnished,North,1,,,1200000
1506,Semi-Furnished,East,0,,,3000000
1507,Unfurnished,South,2,,,4500000
1508,Semi-Furnished,South,1,,,5300000
1510,Furnished,North,1,,,4000000
1511,Furnished,North,0,,,800000
1512,Unfurnished,North,0,,,800000
1513,Semi-Furnished,West,0,,,6000000
1514,Furnished,North-East,0,,,44000000
1515,Semi-Furnished,East,3+,,,4500000
1516,Semi-Furnished,East,1,,,5200000
1517,Unfurnished,North-East,2,,,11500000
1519,Furnished,North-West,1,,,7500000
1520,Semi-Furnished,North,1,,,2600000
1522,Unfurnished,North,2,,,4000000
1523,Semi-Furnished,,1,,,3500000
1524,Semi-Furnished,West,1,,,4100000
1526,Semi-Furnished,North-East,2,,,8450000
1527,Unfurnished,,,,,4500000
1529,Semi-Furnished,East,0,,,3850000
1531,Unfurnished,North-East,0,,,900000
1532,Unfurnished,,1,,,11000000
1533,Furnished,North-East,1,,,5500000
1535,Unfurnished,,0,,,1250000
1536,Furnished,North-East,2,,,180000
1537,Unfurnished,,,,,7500000
1539,Semi-Furnished,North,,,,2600000
1540,Furnished,North-East,1,,,19500
1541,Furnished,South-East,1,,,1300000
1542,Semi-Furnished,West,1,,,1200000
1543,Semi-Furnished,West,1,,,700000
1546,Furnished,North-East,1,,,4350000
1547,Furnished,East,1,,,2300000
1548,Unfurnished,South,1,,,1350000
1549,Furnished,West,2,,,25000
1550,Unfurnished,,0,,,8000000
1551,Unfurnished,,2,,,9000000
1552,Furnished,North-West,1,,,6800000
1553,Semi-Furnished,,1,,,8500000
1554,Furnished,North-East,1,,,13700
1556,Unfurnished,North,1,,,5000000
1557,Furnished,North,1,,,10000
1558,Unfurnished,North-East,0,,,2370000
1560,Unfurnished,West,0,,,2500000
1561,Furnished,East,0,,,1650000
1562,Semi-Furnished,,0,,,8000000
1563,Semi-Furnished,North,,,,2000000
1565,Unfurnished,West,0,,,3130000
1566,,South,1,,,2700000
1567,Semi-Furnished,West,1,,,3500000
1568,Unfurnished,North,0,,,1500000
1570,Furnished,North,0,,,6500000
1571,Furnished,North,0,,,750000
1572,Semi-Furnished,East,1,,,11000000
1573,Unfurnished,West,1,,,7700000
1574,Unfurnished,East,0,,,2600000
1575,Unfurnished,East,1,,,3000000
1576,Unfurnished,North,3+,,,7500000
1577,Unfurnished,North-East,0,,,3200000
404,Furnished,East,1,,,9500000
1579,Semi-Furnished,East,1,,,255000
1580,Semi-Furnished,West,1,,,7500000
1581,Semi-Furnished,North-East,2,,,10000000
1582,Furnished,West,1,,,9000000
1584,Unfurnished,South-East,3+,,,9000000
1585,Unfurnished,East,3+,,,2650000
1587,Unfurnished,West,3,,,8500000
1589,Furnished,East,,,,2500000
1590,Semi-Furnished,East,3+,,,15000000
1591,Semi-Furnished,South-West,1,,,6000000
1592,Furnished,,0,,,2500000
1593,,,,,,3000000
1594,Semi-Furnished,East,1,,,4100000
1595,Semi-Furnished,South,,,,3500000
1596,Unfurnished,South,1,,,3200000
1597,Furnished,North-East,1,,,7500000
1598,Unfurnished,,,,,1299999
1599,Unfurnished,North,0,,,3600000
1601,Unfurnished,East,2,,,7000000
1603,Semi-Furnished,North,2,,,4850000
1606,Unfurnished,North-East,1,,,6200000
1607,Semi-Furnished,South,1,,,1600000
1608,Unfurnished,North-East,0,,,5100000
1609,Unfurnished,West,0,,,1499999
1610,Unfurnished,North-East,1,,,1500000
1611,Furnished,South-East,1,,,3900000
1612,Unfurnished,South-East,1,,,7200000
1613,Furnished,West,0,,,3000000
1614,Unfurnished,North,0,,,4990000
1615,Furnished,,,,,3800000
1616,Semi-Furnished,South,0,,,2850000
1617,Semi-Furnished,North-East,,,,8700000
1618,Furnished,North-East,0,,,6200000
1619,Unfurnished,South,1,,,10000
1620,Furnished,South,0,,,2200000
1622,Unfurnished,North-East,2,,,4000000
1623,Furnished,West,1,,,3300000
1625,Furnished,North,1,,,7500000
1628,Unfurnished,West,1,,,3500000
1629,Unfurnished,North-East,1,,,3600000
1630,Unfurnished,North,0,,,2500000
1631,Furnished,North,2,,,6000000
1632,Furnished,,1,,,5500000
1636,Unfurnished,,,,,3000000
1638,Unfurnished,West,1,,,6000000
1639,Unfurnished,,1,,,3000000
1641,Furnished,North-East,1,,,3700000
1642,Furnished,East,1,,,9750000
1644,Unfurnished,North-West,0,,,2300000
1646,Unfurnished,South,,,,4500000
1647,,East,,,,1100000
1648,Semi-Furnished,North-East,1,,,1350000
1649,Unfurnished,West,1,,,500000
1650,Unfurnished,North-East,0,,,6500000
1651,Furnished,,3+,,,11500000
1652,Semi-Furnished,South-East,1,,,8500000
1654,Semi-Furnished,,,,,7350000
1655,Semi-Furnished,,,,,2900000
1656,Unfurnished,West,1,,,2300000
1657,Furnished,East,1,,,1950000
1658,Semi-Furnished,East,3+,,,6000000
1659,Semi-Furnished,North,3+,,,20000000
1660,Semi-Furnished,North,1,,,15000000
1661,Semi-Furnished,North,1,,,3500000
1663,Semi-Furnished,West,3,,,32500000
1664,Unfurnished,North,1,,,1500000
847,Semi-Furnished,North-West,1,,,1500000
1667,Unfurnished,,0,,,2200000
1668,Semi-Furnished,North-East,2,,,2700000
1669,Semi-Furnished,West,1,,,5290000
1670,Semi-Furnished,North,0,,,4000000
1671,Furnished,East,1,,,1700000
1672,Semi-Furnished,West,0,,,1500000
1673,Semi-Furnished,North-East,0,,,2000000
1674,Semi-Furnished,South-East,1,,,1300000
1675,Furnished,North-West,,,,4200000
1676,Unfurnished,East,3,,,13000000
1677,Furnished,,0,,,2000000
1679,Semi-Furnished,East,0,,,2650000
1680,Furnished,West,0,,,6800000
1681,Unfurnished,East,1,,,3800000
1682,Semi-Furnished,North-East,,,,5800000
1684,Furnished,East,0,,,4600000
1685,Furnished,North,0,,,15000000
1686,Unfurnished,West,0,,,3500000
1687,Furnished,South,0,,,1000000
1688,Furnished,East,0,,,7000000
1689,Semi-Furnished,South,1,,,7200000
1690,Furnished,North-East,0,,,2700000
1691,Unfurnished,North,1,,,4500000
1692,Unfurnished,East,1,,,2700000
1693,Furnished,North,1,,,10000000
1694,Unfurnished,North,0,,,55000000
1695,Furnished,South,0,,,3800000
1696,Unfurnished,West,1,,,7000000
1697,Semi-Furnished,North-East,1,,,1800000
1698,Semi-Furnished,East,0,,,1799999
1699,Semi-Furnished,West,0,,,1300000
1701,Furnished,South,1,,,6300000
1702,Semi-Furnished,North-East,1,,,1700000
1703,Semi-Furnished,North-East,,,,1900000
1704,Semi-Furnished,North-East,1,,,5600000
1705,Semi-Furnished,North-East,1,,,9000000
1708,Furnished,,1,,,1800000
1709,Unfurnished,South-East,0,,,1700000
1712,Semi-Furnished,South-West,1,,,6500000
1713,Unfurnished,South,1,,,4900000
1714,Unfurnished,West,0,,,6000000
1715,Unfurnished,South,2,,,5500000
1716,Furnished,North,3,,,4000000
1717,Unfurnished,West,1,,,2000000
1719,Furnished,,0,,,1500000
1720,Semi-Furnished,North,0,,,7500000
1722,Semi-Furnished,North-West,0,,,5500000
1723,Semi-Furnished,North,3+,,,22500000
1724,Furnished,East,1,,,7100000
1725,Unfurnished,North,1,,,2300000
1726,Semi-Furnished,North-West,,,,2850000
1727,Unfurnished,West,1,,,4500000
1729,Unfurnished,East,3+,,,45000000
1730,Furnished,East,1,,,30000000
1731,Semi-Furnished,East,0,,,6800000
