Sno_,carpetarea,status,floor,transaction_type,year_built,price_per_sqft
840,2800,Ready to Move,2,,,6607
841,50,Ready to Move,2,,,54000
842,2000,New Launch,1,,,4000
843,3600,Ready to Move,3,,,2500
844,1150,Ready to Move,1,,,3304
845,1100,New Launch,2,,,4545
847,2000,Ready to Move,2,,,5750
848,720,Ready to Move,1,,,5554
849,1800,Ready to Move,2,,,13056
850,1500,Ready to Move,2,,,2067
851,700,New Launch,1,,,4286
852,1500,Ready to Move,2,,,4333
853,1015,Ready to Move,2,,,4532
854,1290,Ready to Move,3,,,4264
855,34,Ready to Move,3,,,80882
856,38,New Launch,2,,,226316
857,950,Ready to Move,2,,,5263
858,1200,New Launch,2,,,5000
859,9838378423,New Launch,4,,,0
860,1539,Ready to Move,1,,,3574
861,1195,Ready to Move,,,,4603
862,750,New Launch,2,,,20
863,37,Under Construction,2,,,82432
864,1400,Ready to Move,2,,,4965
866,1200,Ready to Move,2,,,4833
868,650,Ready to Move,2,,,6077
869,12,Under Construction,2,,,708333
870,1,New Launch,2,,,9000000
871,720,Ready to Move,1,,,5694
872,1050,Ready to Move,1,,,5571
873,1000,Ready to Move,1,,,5700
874,1600,Ready to Move,2,,,4062
875,1300,Ready to Move,2,,,4615
876,1100,Ready to Move,1,,,4909
877,720,Ready to Move,1,,,4444
878,1000,Ready to Move,2,,,4500
879,600,Ready to Move,2,,,10000
880,111,Ready to Move,2,,,36036
882,960,Under Construction,1,,,3125
883,2200,Ready to Move,2,,,4500
884,100,New Launch,0,,,35100
885,55,Ready to Move,3,,,100000
886,630,Ready to Move,2,,,11111
887,1500,Ready to Move,1,,,4667
888,2500,Ready to Move,2,,,3000
889,1400,Under Construction,1,,,2000
890,880,Ready to Move,2,,,14
891,50,New Launch,3,,,280000
892,700,Under Construction,2,,,5714
893,600,Ready to Move,1,,,4250
894,900,Ready to Move,1,,,7222
895,600,New Launch,2,,,11000
896,1200,Ready to Move,2,,,3500
897,2750,Ready to Move,2,,,2764
898,62,Ready to Move,1,,,19355
899,77,Ready to Move,,,,40260
900,3200,Ready to Move,3,,,5625
901,1450,Ready to Move,2,,,6621
902,720,Ready to Move,1,,,11806
903,520,Ready to Move,2,,,7308
904,196,Ready to Move,3,,,51
905,936,Ready to Move,1,,,4915
906,2200,Ready to Move,2,,,10227
907,800,Ready to Move,1,,,5125
908,5100,Under Construction,,,,4412
909,885,Under Construction,858,,,6215
910,1200,Under Construction,2,,,4583
911,1900,Ready to Move,2,,,6000
912,14,Under Construction,1,,,142857
913,1512,Ready to Move,1,,,3307
914,910,New Launch,2,,,6044
915,50,New Launch,0,,,100000
916,1400,Under Construction,1,,,4429
917,1250,Ready to Move,3,,,19200
918,950,Ready to Move,2,,,6316
919,100,Ready to Move,100,,,30000
920,950,Ready to Move,2,,,7895
921,173,Ready to Move,,,,41618
922,1400,Under Construction,1,,,4643
924,72,Ready to Move,2,,,86111
925,450,Ready to Move,2,,,11333
926,1100,Ready to Move,1,,,3818
928,915,Under Construction,1,,,3246
929,1315,Under Construction,2,,,2563
930,1000,Ready to Move,2,,,13000
931,196,Ready to Move,3,,,12500
932,2700,Ready to Move,,,,3637
933,1150,Ready to Move,1,,,1130
934,2700,Ready to Move,,,,3634
935,900,Ready to Move,,,,10934
936,145,Under Construction,,,,127586
937,1350,Ready to Move,,,,4593
938,1500,Ready to Move,1,,,1733
939,900,Ready to Move,,,,4444
940,800,Ready to Move,1,,,11250
941,105,Ready to Move,3,,,59048
943,1050,Ready to Move,2,,,3333
944,900,Under Construction,2,,,3111
945,1200,Ready to Move,2,,,8333
946,700,Ready to Move,1,,,2857
947,1150,Ready to Move,,,,4783
948,1150,Ready to Move,,,,3913
949,1150,Ready to Move,,,,5652
950,1350,,,,,4815
951,1150,Ready to Move,,,,4087
952,1035,Ready to Move,1,,,2657
953,1150,Ready to Move,,,,4000
954,2100,Ready to Move,2,,,5952
955,1125,Ready to Move,2,,,8889
961,1087,Under Construction,,,,3951
965,1350,Ready to Move,,,,4815
966,1000,Ready to Move,1,,,10
967,1532,Ready to Move,,,,1012
968,4500,Ready to Move,2,,,4422
969,3600,Ready to Move,2,,,4583
971,596,Ready to Move,1,,,5872
972,940,Ready to Move,2,,,7862
979,2900,Ready to Move,2,,,3621
980,1327,Under Construction,2,,,2528
981,1250,Under Construction,,,,4792
989,1500,Under Construction,,,,2600
990,1500,Ready to Move,1,,,2327
992,116,New Launch,2,,,53448
993,8,New Launch,1,,,206250
994,1350,Ready to Move,1350,,,1852
995,646,Ready to Move,1,,,5882
996,3000,Ready to Move,,,,11667
997,900,Ready to Move,,,,10962
999,1300,Ready to Move,,,,2462
1000,1650,Under Construction,2,,,2970
1001,1000,Under Construction,2,,,6500
1002,132,New Launch,2,,,24242
1003,140,Ready to Move,,,,182143
1005,840,Under Construction,1,,,3179
1006,1515,Ready to Move,2,,,2749
1007,837,Under Construction,1,,,3184
1008,1815,Ready to Move,2,,,2298
1010,630,New Launch,1,,,2381
1011,927,Ready to Move,1,,,3204
1012,1100,Ready to Move,2,,,5901
1013,2700,Ready to Move,1,,,2222
1014,1800,Ready to Move,,,,6
1015,650,Under Construction,1,,,5385
1016,108,Ready to Move,0,,,12500
1017,1355,Ready to Move,2,,,8856
1019,1500,Ready to Move,3,,,3833
1020,200,New Launch,3,,,75000
1021,950,Ready to Move,1,,,3158
1022,630,New Launch,2,,,1746
1023,1515,Ready to Move,2,,,2744
1024,950,Ready to Move,3,,,10411
1025,2000,Ready to Move,2,,,4000
1026,2307,Ready to Move,2,,,3368
1027,1250,Ready to Move,,,,3000
1028,1800,Ready to Move,2,,,3889
1029,5000,Ready to Move,2,,,3000
1030,750,Ready to Move,2,,,20667
1031,127,Ready to Move,1,,,15748
1032,1070,Ready to Move,,,,2850
1033,1028,Ready to Move,,,,2797
1034,1610,Ready to Move,2,,,2764
1035,1017,Ready to Move,,,,2999
1036,2515,Ready to Move,2,,,3400
1037,950,Under Construction,1,,,3344
1038,1315,Ready to Move,2,,,2553
1039,150,Ready to Move,2,,,20000
1041,850,Ready to Move,2,,,8000
1042,1800,Ready to Move,,,,2222
1043,1300,Under Construction,,,,2462
1044,2400,Ready to Move,,,,2833
1046,1350,New Launch,2,,,2963
1047,45,New Launch,2,,,98889
1048,955,Under Construction,1,,,3319
1050,1346,Ready to Move,,,,10401
1051,1800,Ready to Move,,,,4611
1052,1400,Ready to Move,,,,4486
1053,195,Ready to Move,,,,130769
1054,1900,Ready to Move,,,,5182
1055,800,Ready to Move,1,,,11875
1056,120,Under Construction,,,,125000
1057,1000,Ready to Move,1,,,2200
1058,120,Ready to Move,,,,187500
1060,1935,Ready to Move,2,,,2377
1061,190,Ready to Move,,,,189474
1067,1250,Under Construction,,,,5192
1068,2115,Ready to Move,2,,,3286
1069,900,Ready to Move,,,,10939
1071,850,Ready to Move,3,,,11635
1072,1012,New Launch,2,,,5929
1073,1500,Ready to Move,1,,,2533
1081,8,Ready to Move,2,,,1750000
1083,1125,Ready to Move,,,,4267
1084,3000,Ready to Move,2,,,4367
1085,250,Ready to Move,1,,,30000
1086,900,Ready to Move,,,,6946
1088,2400,Ready to Move,2,,,3958
1089,1400,Ready to Move,2,,,7000
1090,1349,Ready to Move,2,,,2724
1091,1190,Under Construction,,,,2857
1092,1250,Ready to Move,2,,,2720
1094,240,Ready to Move,,,,150000
1095,875,Ready to Move,,,,2800
1096,794,Ready to Move,,,,2771
1097,900,Ready to Move,3,,,10989
1098,1000,Ready to Move,,,,2000
1099,1263,New Launch,2,,,3872
1101,1250,Ready to Move,2,,,2664
1103,668,Ready to Move,,,,2507
1105,1053,Ready to Move,2,,,2564
1106,957,Under Construction,1,,,3312
1107,550,Ready to Move,2,,,3636
1108,2500,Ready to Move,2,,,4440
1109,5000,Ready to Move,2,,,7020
1110,1250,Ready to Move,1,,,2400
1111,1000,Ready to Move,1,,,3200
1112,1000,Ready to Move,2,,,2800
1113,750,Ready to Move,2,,,7053
1114,1180,Ready to Move,2,,,5839
1116,853,Ready to Move,3,,,11593
1117,3000,Ready to Move,1,,,1000
1118,560,Ready to Move,,,,2143
1122,1262,New Launch,2,,,3875
1123,1050,Ready to Move,2,,,20952
1124,900,New Launch,2,,,2667
1125,3000,Ready to Move,2,,,4167
1126,1250,Ready to Move,,,,2800
1128,759,Ready to Move,3,,,3689
1129,5500,Ready to Move,2,,,4564
1130,18,Ready to Move,2,,,83333
1131,630,Ready to Move,3,,,4365
1132,1750,Ready to Move,2,,,3714
1133,891,Ready to Move,3,,,7295
1134,1700,Ready to Move,,,,2353
1136,56,Ready to Move,2,,,46429
1137,1500,,,,,1867
1138,1125,Ready to Move,3,,,9778
1139,875,Ready to Move,2,,,6503
1140,900,Ready to Move,2,,,5556
1141,747,Ready to Move,2,,,4016
1142,1800,Ready to Move,,,,4678
1143,2000,Under Construction,2,,,2400
1144,1350,Ready to Move,1,,,4519
1145,1100,Under Construction,,,,1455
1146,70,Ready to Move,2,,,157143
1147,100,Ready to Move,2,,,45000
1148,1590,Ready to Move,2,,,3774
1149,750,Ready to Move,3,,,4000
1151,1000,Ready to Move,2,,,4000
1152,1100,Ready to Move,1,,,2455
1154,100,Ready to Move,,,,30000
1156,360,Ready to Move,,,,3611
1157,5000,Ready to Move,3,,,5200
1158,5400,Ready to Move,3,,,4815
1159,900,Ready to Move,,,,6972
1160,1900,Ready to Move,,,,5168
1161,1800,Ready to Move,,,,5444
1162,1450,Ready to Move,2,,,16207
1164,2800,Ready to Move,,,,1857
1165,2800,New Launch,2,,,5357
1166,538,New Launch,2,,,6859
1167,1055,Ready to Move,3,,,7005
1168,120,Ready to Move,1,,,29583
1170,55,Ready to Move,2,,,121818
1171,1110,Ready to Move,3,,,3235
1173,130,Under Construction,,,,49988
1174,1400,Ready to Move,2,,,10714
1175,1125,Ready to Move,1,,,2844
1176,700,Ready to Move,1,,,2429
1177,1125,Ready to Move,2,,,8800
1179,1125,Under Construction,1,,,2667
1180,900,Under Construction,2,,,2889
1181,1400,Ready to Move,3,,,6071
1182,1176,New Launch,2,,,3997
1183,1327,Under Construction,2,,,2545
1184,1713,Ready to Move,2,,,2424
1185,927,Under Construction,1,,,3204
1186,24,Ready to Move,1,,,60417
1187,1200,Under Construction,1,,,4333
1188,2215,Ready to Move,2,,,3508
1189,1300,Under Construction,,,,4999
1190,200,Ready to Move,1,,,18000
1191,1800,Ready to Move,2,,,4272
1192,8000,Ready to Move,2,,,6888
1193,2800,Ready to Move,2,,,4607
1194,3600,Ready to Move,2,,,5139
1195,875,Ready to Move,,,,2057
1196,2250,Ready to Move,2,,,1778
1197,915,Under Construction,1,,,3464
1198,735,Ready to Move,1,,,3905
1199,815,Under Construction,1,,,3260
1200,2015,Ready to Move,2,,,3449
1201,915,Under Construction,1,,,3235
1202,2675,Ready to Move,1,,,1346
1203,1610,Ready to Move,,,,2764
1204,834,Ready to Move,2,,,4197
1206,900,New Launch,1,,,2500
1207,1382,Ready to Move,,,,1592
1208,933,Ready to Move,1,,,3376
1209,921,Ready to Move,1,,,3214
1210,666,Ready to Move,2,,,2402
1211,60,New Launch,2,,,36667
1212,1100,Ready to Move,,,,2432
1213,1250,Ready to Move,2,,,2380
1214,1000,Ready to Move,1,,,2100
1215,920,Ready to Move,,,,2446
1216,700,New Launch,1,,,2286
1217,2000,Ready to Move,0,,,17500
1218,1070,Ready to Move,2,,,2850
1219,1610,Ready to Move,1,,,9006
1220,1960,Ready to Move,0,,,12755
1221,1660,Ready to Move,1,,,9639
1222,900,Ready to Move,0,,,3878
1223,800,Ready to Move,0,,,4738
1224,900,Ready to Move,1,,,5544
1225,850,Ready to Move,2,,,7047
1226,3000,Under Construction,,,,2167
1227,1100,Ready to Move,,,,3909
1228,1050,Ready to Move,2,,,6857
1229,1512,Ready to Move,2,,,5622
1230,1012,Ready to Move,2,,,7302
1231,180,,1,,,69
1233,1700,Ready to Move,2,,,2559
1234,490,New Launch,,,,100000
1235,761,Ready to Move,2,,,6032
1236,960,Ready to Move,2,,,7906
1238,1350,Under Construction,,,,2370
1239,20,Ready to Move,3,,,175000
1241,1600,Under Construction,,,,2500
1242,1800,Under Construction,,,,2222
1243,1805,Ready to Move,3,,,16620
1244,925,Ready to Move,1,,,3200
1245,2115,Ready to Move,2,,,3296
1246,250,Ready to Move,1,,,7000
1247,38,New Launch,1,,,34211
1248,3000,Ready to Move,3,,,2330
1249,1100,Ready to Move,2,,,8636
1250,900,Ready to Move,2,,,7322
1251,1120,Ready to Move,2,,,11161
1252,800,Ready to Move,2,,,2938
1253,1950,Ready to Move,2,,,5897
1254,240,New Launch,1,,,6667
1256,1350,Ready to Move,2,,,2963
1263,2100,Ready to Move,2,,,14286
1264,1633,Ready to Move,2,,,5879
1265,1550,Ready to Move,1,,,7387
1266,800,Ready to Move,2,,,5749
1267,1100,Ready to Move,2,,,3636
1268,2000,Ready to Move,2,,,2000
1269,2250,Ready to Move,,,,2889
1270,7,Under Construction,2,,,814286
1271,20,New Launch,1,,,40000
1272,200,Ready to Move,2,,,81000
1273,500,Under Construction,3,,,1400
1274,700,Ready to Move,2,,,7571
1275,70,Ready to Move,3,,,31429
1276,2000,Ready to Move,3,,,3125
1277,262,Ready to Move,2,,,14122
1278,1,New Launch,1,,,1200000
1279,1500,Ready to Move,,,,4103
1280,48,Under Construction,2,,,56250
1281,1362,Ready to Move,,,,2349
1282,90,Under Construction,2,,,10556
1283,200,Ready to Move,15,,,22500
1284,1850,Ready to Move,1,,,5405
1285,2072,Ready to Move,2,,,2172
1286,100,Ready to Move,2,,,85900
1287,55,Ready to Move,1,,,24545
1288,600,Ready to Move,2,,,6333
1289,1800,Ready to Move,2,,,3444
1290,1325,Ready to Move,3,,,9057
1291,1225,Ready to Move,3,,,9143
1292,1055,Ready to Move,3,,,9185
1293,850,Ready to Move,,,,4706
1294,630,Ready to Move,2,,,3802
1295,1295,Ready to Move,1,,,3475
1296,400,Ready to Move,2,,,10750
1297,817,Ready to Move,2,,,6120
1299,1700,New Launch,2,,,2206
1300,662,Ready to Move,2,,,3248
1301,1089,Ready to Move,,,,3857
1302,1242,Ready to Move,,,,5233
1303,900,Ready to Move,,,,6989
1305,891,Ready to Move,,,,2806
1306,1500,Ready to Move,3,,,2333
1307,1000,,1,,,4700
1309,190,Ready to Move,,,,173684
1311,850,Ready to Move,3,,,5753
1312,1600,Ready to Move,,,,2500
1313,1900,Ready to Move,,,,2000
1314,548,Ready to Move,3,,,22
1315,1322,Ready to Move,2,,,7557
1316,90,Ready to Move,,,,172222
1317,1300,Under Construction,,,,5762
1318,1270,Under Construction,2,,,3307
1319,195,Ready to Move,,,,135897
1320,2200,Ready to Move,2,,,2727
1321,40,Ready to Move,,,,45000
1322,1224,New Launch,2,,,3105
1323,560,Ready to Move,3,,,5179
1324,720,Ready to Move,2,,,8181
1328,858,Ready to Move,2,,,6981
1329,1150,Ready to Move,2,,,6426
1330,1122,Ready to Move,3,,,8815
1331,850,Ready to Move,2,,,6929
1332,1500,Ready to Move,,,,4141
1334,1327,Under Construction,2,,,2540
1335,1140,Ready to Move,1,,,1579
1336,900,Ready to Move,,,,11001
1339,1120,New Launch,2,,,4464
1340,410,Ready to Move,1,,,6098
1342,550,Under Construction,,,,4362
1343,1050,Ready to Move,2,,,6181
1344,1250,Ready to Move,3,,,2560
1348,900,Ready to Move,,,,6872
1349,900,Ready to Move,,,,10974
1351,925,Under Construction,1,,,3205
1353,1400,Under Construction,,,,2286
1354,2000,Under Construction,2,,,2000
1356,1850,Ready to Move,1,,,2486
1357,1250,Under Construction,2,,,12800
1358,2126,Ready to Move,2,,,5174
1359,50,Ready to Move,2,,,40000
1360,1080,Ready to Move,1,,,6944
1361,250,,,,,104000
1362,850,Ready to Move,3,,,8106
1363,852,Ready to Move,2,,,6092
1366,1300,Ready to Move,2,,,1346
1367,1193,,2,,,15004
1368,1350,Ready to Move,2,,,5556
1370,450,Under Construction,1,,,3956
1371,1500,Ready to Move,2,,,1766
1372,800,Ready to Move,0,,,2625
1373,690,Ready to Move,2,,,4348
1374,850,New Launch,,,,5294
1379,220,Ready to Move,2,,,3864
1381,12,Ready to Move,2,,,500000
1382,580,Ready to Move,2,,,7155
1383,900,Ready to Move,1,,,2500
1384,2377,Ready to Move,3,,,4628
1385,3565,Ready to Move,1,,,2384
1386,900,Ready to Move,2,,,9111
1387,210,Ready to Move,1,,,26190
1388,1100,Ready to Move,2,,,5273
1389,1800,Ready to Move,2,,,3333
1390,1000,Ready to Move,3,,,5800
1391,1500,Ready to Move,2,,,18000
1392,1350,Ready to Move,2,,,5111
1393,77,Ready to Move,2,,,97403
1394,84,Ready to Move,1,,,66667
1395,1800,Ready to Move,1,,,3333
1396,2200,Ready to Move,2,,,6364
1397,2000,Ready to Move,2,,,17500
1398,495,Ready to Move,1,,,3232
1399,950,Ready to Move,2,,,8421
1400,620,Ready to Move,1,,,3306
1401,12,New Launch,2,,,83333
1402,1620,Ready to Move,1,,,4630
1403,2350,Ready to Move,,,,12766
1404,200,Ready to Move,1,,,22500
1405,1186,Ready to Move,1,,,5228
1406,0,Under Construction,,,,inf
1407,1512,Under Construction,1,,,2646
1408,5301,Ready to Move,2,,,2264
1409,1000,New Launch,4,,,3200
1410,1925,Under Construction,1,,,4519
1411,1,Ready to Move,1,,,550000
1412,135,New Launch,3,,,100
1413,100,Ready to Move,0,,,16000
1414,2000,New Launch,1,,,6000
1415,300,Ready to Move,3,,,6000
1416,1800,Ready to Move,1,,,10000
1417,45,Ready to Move,1,,,60000
1418,2000,New Launch,0,,,6000
1420,500,Ready to Move,1,,,4200
1421,153,Ready to Move,2,,,49020
1422,1016,Ready to Move,2,,,3642
1423,965,Ready to Move,2,,,4870
1424,720,Ready to Move,2,,,5090
1425,890,Ready to Move,2,,,14607
1426,585,Ready to Move,2,,,6838
1427,215,New Launch,1,,,18605
1428,1500,Ready to Move,1,,,3200
1429,457,Ready to Move,1,,,11597
1430,1100,Ready to Move,3600,,,32
1431,45,New Launch,1,,,37778
1432,900,Ready to Move,2,,,4556
1433,35,Under Construction,1,,,85714
1434,534,Ready to Move,3,,,7491
1435,2070,Ready to Move,2,,,4783
1436,970,Ready to Move,2,,,4845
1437,600,Ready to Move,1,,,4667
1438,4800,Ready to Move,3,,,3271
1439,250,Ready to Move,,,,12000
1440,1400,New Launch,2,,,2500
1441,100,Ready to Move,1,,,17000
1443,4500,Ready to Move,2,,,5333
1444,1350,Ready to Move,2,,,5178
1445,5000,Ready to Move,,,,10000
1446,52,Under Construction,,,,92308
1447,1820,Ready to Move,,,,6044
1448,400,Ready to Move,1,,,5000
1449,1782,Ready to Move,1,,,842
1450,400,New Launch,2,,,11750
1451,1196,Ready to Move,2,,,6605
1452,50,New Launch,2,,,40000
1453,3330,Ready to Move,1,,,9760
1454,2000,Ready to Move,1,,,2650
1455,90,Ready to Move,1,,,61111
1456,3030,Ready to Move,2,,,3960
1457,550,Under Construction,2,,,14164
1458,690,Ready to Move,2,,,26087
1460,418,Ready to Move,2,,,2871
1461,0,New Launch,0,,,inf
1462,50,Ready to Move,2,,,32000
1463,730,Under Construction,,,,4521
1464,1359,Ready to Move,2,,,6990
1465,1500,Ready to Move,2,,,9333
1466,450,New Launch,1,,,4444
1467,1250,Ready to Move,2,,,12000
1468,450,Ready to Move,1,,,2667
1469,3400,Ready to Move,2,,,4412
1470,50,New Launch,2,,,52000
1471,1080,Ready to Move,,,,1852
1472,75,Ready to Move,1,,,15333
1473,35,Ready to Move,2,,,57143
1474,650,Ready to Move,1,,,3538
1475,720,Ready to Move,2,,,6806
1476,0,New Launch,1,,,inf
1477,900,Ready to Move,2,,,3889
1478,1200,Ready to Move,1,,,3750
1479,1000,Ready to Move,2,,,3200
1480,125,Ready to Move,2,,,32000
1481,142,New Launch,3,,,119
1482,1800,Ready to Move,1,,,2681
1483,3915,Ready to Move,2,,,9579
1484,450,Ready to Move,1,,,5333
1485,1337,Ready to Move,,,,5610
1486,1960,Ready to Move,1,,,6
1487,110,Ready to Move,3,,,34545
1488,200,Ready to Move,1,,,27500
1489,1200,Ready to Move,1,,,8
1490,1925,Ready to Move,2,,,3636
1491,630,Ready to Move,2,,,5714
1492,425,Ready to Move,1,,,5059
1493,20,New Launch,1,,,85000
1494,62,Ready to Move,1,,,27419
1495,1000,Under Construction,2,,,18000
1496,600,Ready to Move,3,,,9333
1497,1200,Ready to Move,1,,,2917
1500,580,Ready to Move,2,,,4086
1501,500,Ready to Move,2,,,17000
1502,1961,Ready to Move,2,,,15298
1503,1680,Ready to Move,1,,,2381
1504,1500,Ready to Move,1,,,1033
1505,22,New Launch,1,,,54545
1506,828,New Launch,1,,,3623
1507,605,Ready to Move,,,,7438
1508,1000,New Launch,2,,,5300
1509,820,Ready to Move,3,,,7561
1510,137,Ready to Move,,,,29197
1511,28,Ready to Move,2,,,28571
1514,8000,Ready to Move,3,,,5500
1515,650,Ready to Move,,,,6923
1516,1042,Ready to Move,1,,,4990
1518,2100,Ready to Move,2,,,2619
1519,1290,Ready to Move,1,,,5814
1520,580,Ready to Move,2,,,4483
1522,1800,Ready to Move,0,,,2222
1523,90,Ready to Move,1,,,38889
1524,151,Under Construction,2,,,27152
1525,110,New Launch,3,,,34545
1526,165,Ready to Move,2,,,51212
1527,1485,Ready to Move,2,,,3030
1528,490,Ready to Move,2,,,6122
1529,100,Ready to Move,1,,,38500
1530,534,New Launch,1,,,3745
1531,450,Ready to Move,1,,,2000
1532,920,Ready to Move,2,,,11957
1533,330,Under Construction,1,,,16667
1534,116,Ready to Move,2,,,30172
1535,579,Ready to Move,1,,,2159
1536,150,Ready to Move,2,,,1200
1537,1782,Ready to Move,,,,4209
1538,130,,1,,,38462
1539,100,Ready to Move,2,,,26000
1540,600,Ready to Move,2,,,32
1541,35,,1,,,37143
1543,36,Ready to Move,2,,,19444
1544,100,Ready to Move,2,,,55000
1545,900,Ready to Move,0,,,4444
1546,2000,Ready to Move,2,,,2175
1547,70,Under Construction,2,,,32857
1548,135001,Ready to Move,50,,,10
1549,1700,New Launch,1,,,15
1550,328,Ready to Move,3,,,24390
1551,1600,Ready to Move,,,,5625
1552,1152,New Launch,2,,,5903
1553,651,Ready to Move,1,,,13057
1554,14,New Launch,3,,,979
1555,1125,New Launch,2,,,4000
1556,960,Ready to Move,1,,,5208
1557,150,Ready to Move,1,,,67
1559,104,Ready to Move,3,,,55769
1560,900,Ready to Move,2,,,2778
1562,899,Ready to Move,3,,,8899
1563,450,Ready to Move,,,,4444
1564,90,New Launch,2,,,50000
1565,447,Ready to Move,2,,,7002
1566,2700000,New Launch,1,,,1
1567,150,Under Construction,1,,,23333
1568,25,Ready to Move,3,,,60000
1569,675,Ready to Move,1,,,3704
1570,2000,Ready to Move,3,,,3250
1571,45,Ready to Move,2,,,16667
1572,600,Under Construction,2,,,18333
1573,60,New Launch,2,,,128333
1574,70,Ready to Move,2,,,37143
1575,100,New Launch,2,,,30000
1576,1200,Ready to Move,,,,6250
1577,1150,Ready to Move,2,,,2783
1578,1800,New Launch,2,,,5278
1579,600,Ready to Move,1,,,425
1580,1800,Ready to Move,2,,,4167
1582,1650,Ready to Move,2,,,5455
1583,1000,Ready to Move,2,,,7000
1584,1800,Ready to Move,1,,,5000
1585,3300,Ready to Move,2,,,803
1586,100,Under Construction,1,,,24000
1587,800,Ready to Move,,,,10625
1588,1115,,,,,3408
1589,1800,Ready to Move,1,,,1389
1590,113,Ready to Move,4,,,132743
1591,500,Ready to Move,2,,,12000
1592,90,New Launch,1,,,27778
1593,82,New Launch,2,,,36585
1595,720,Ready to Move,2,,,4861
1596,892,Ready to Move,2,,,3587
1598,125,Ready to Move,,,,10400
1599,1000,Ready to Move,3,,,3600
1600,1710,Ready to Move,2,,,3509
1601,300,Ready to Move,3,,,23333
1602,1681,New Launch,2,,,3867
1603,2236,Ready to Move,2,,,2169
1604,30,Ready to Move,2,,,56667
1606,395,Ready to Move,3,,,15696
1607,2000,New Launch,1,,,800
1608,1200,Ready to Move,3,,,4250
1609,450,Ready to Move,1,,,3333
1610,1400,New Launch,1,,,1071
1611,2000,New Launch,1,,,1950
1612,1350,Ready to Move,2,,,5333
1613,624,Ready to Move,2,,,4808
1614,750,Ready to Move,1,,,6653
1615,600,New Launch,3,,,6333
1616,150,Ready to Move,2,,,19000
1617,1100,Ready to Move,2,,,7909
1618,540,Ready to Move,3,,,11481
1619,850,Ready to Move,2,,,12
1620,450,New Launch,2,,,4889
1621,20,New Launch,1,,,200000
1622,580,New Launch,2,,,6897
1623,635,Ready to Move,1,,,5197
1624,1961,Ready to Move,2,,,4080
1625,891,Ready to Move,1,,,8418
1626,8496,Ready to Move,3,,,3531
1627,5800,Ready to Move,1,,,483
1628,39,Ready to Move,1,,,89744
1629,900,Ready to Move,1,,,4000
1630,370,Ready to Move,2,,,6757
1631,1860,New Launch,,,,3226
1632,1350,Under Construction,1,,,4074
1633,100,Ready to Move,1,,,30000
1634,450,Ready to Move,1,,,7778
1635,953,Ready to Move,2,,,2938
1637,10,New Launch,1,,,300000
1638,200,Ready to Move,6,,,30000
1639,1248,Under Construction,,,,2404
1640,900,Ready to Move,2,,,17222
1641,40,New Launch,1,,,92500
1642,1032,Ready to Move,5,,,9448
1643,718,Ready to Move,1,,,4457
1644,39,New Launch,1,,,58974
1646,540,New Launch,3,,,8333
1647,450,Ready to Move,1,,,2444
1648,450,Ready to Move,1,,,3000
1649,5000,Ready to Move,1,,,100
1650,187,Ready to Move,1,,,34759
1651,220,Ready to Move,2,,,52273
1652,60,Ready to Move,3,,,141667
1654,1,Ready to Move,2,,,7350000
1655,54,Ready to Move,2,,,53704
1656,850,Ready to Move,,,,2706
1657,200,New Launch,1,,,9750
1658,1000,New Launch,3,,,6000
1659,1125,Ready to Move,4,,,17778
1660,900,Ready to Move,2,,,16667
1661,1,Ready to Move,1,,,3500000
1662,158,Ready to Move,1,,,63
1663,4000,Ready to Move,3,,,8125
1664,1400,New Launch,,,,1071
1665,800,Ready to Move,1,,,5000
1666,360,Ready to Move,2,,,4167
1667,750,New Launch,1,,,2933
1668,540,Ready to Move,2,,,5000
1669,1800,Ready to Move,2,,,2939
1670,20,Ready to Move,1,,,200000
1671,1100,Ready to Move,1,,,1545
1672,50,Ready to Move,2,,,30000
1673,50,Ready to Move,1,,,40000
1675,765,Ready to Move,2,,,5490
1676,1200,Ready to Move,2,,,10833
1677,131,Ready to Move,1,,,15267
1678,1782,Under Construction,1,,,2525
1679,780,Ready to Move,2,,,3397
1680,161,Ready to Move,1,,,42236
1681,1250,Ready to Move,2,,,3040
1682,1850,Ready to Move,2,,,3135
1683,60,New Launch,1,,,45000
1684,2025,Ready to Move,3,,,2272
1685,547,Ready to Move,3,,,27422
1686,1070,Ready to Move,2,,,3271
1687,144,Ready to Move,1,,,6944
1688,1000,New Launch,2,,,7000
1689,1470,Ready to Move,1,,,4898
1690,696,Ready to Move,2,,,3879
1691,80,Under Construction,0,,,56250
1692,800,New Launch,1,,,3375
1693,1750,Ready to Move,2,,,5714
1694,250,Ready to Move,2,,,220000
1695,100,Ready to Move,2,,,38000
1696,400,Ready to Move,3,,,17500
1697,200,Ready to Move,0,,,9000
1698,500,New Launch,1,,,3600
1699,30,Ready to Move,2,,,43333
1700,800,New Launch,,,,4000
1701,1100,Ready to Move,2,,,5727
1702,2000,New Launch,1,,,850
1703,320,Ready to Move,1,,,5938
1704,1450,Ready to Move,2,,,3862
1705,2100,Ready to Move,2,,,4286
1706,1550,Ready to Move,2,,,4194
1707,720,Under Construction,,,,4444
1708,670,Ready to Move,,,,2687
1709,600,Ready to Move,2,,,2833
1710,1350,Ready to Move,,,,2593
1711,749,Ready to Move,,,,4940
1712,0,New Launch,3,,,inf
