Sno_,carpetarea,status,floor,transaction_type,year_built,price_per_sqft
179,1715,Ready to Move,2,,,3831
180,838,Ready to Move,0,,,3341
181,1650,Ready to Move,2,,,3818
182,1700,Ready to Move,2,,,4000
183,2200,Ready to Move,2,,,12045
184,1396,Ready to Move,,,,3574
185,1650,Ready to Move,2,,,4121
186,2000,Ready to Move,2,,,4900
187,600,Ready to Move,,,,5333
189,1800,Ready to Move,2,,,3611
190,1700,Ready to Move,2,,,8235
191,2500,Ready to Move,2,,,9760
192,3700,Ready to Move,2,,,12568
193,3800,Ready to Move,3,,,8158
194,2650,Ready to Move,2,,,6226
195,2100,Ready to Move,2,,,7143
196,2200,Ready to Move,2,,,9091
197,2500,Ready to Move,2,,,6600
198,860,Ready to Move,1,,,4651
199,2400,Ready to Move,2,,,6458
200,260,Ready to Move,0,,,6923
201,2500,Ready to Move,2,,,10400
202,2600,Ready to Move,3,,,5962
203,2200,Ready to Move,2,,,10455
204,2400,Ready to Move,2,,,6875
205,2800,Ready to Move,2,,,9821
206,1600,Ready to Move,2,,,7375
207,2600,Ready to Move,1,,,6154
208,1300,Ready to Move,1,,,1846
209,900,New Launch,1,,,5556
210,1600,Ready to Move,2,,,4688
211,1400,Ready to Move,2,,,4286
212,1550,Ready to Move,2,,,4387
213,2250,Ready to Move,2,,,4356
215,4000,Ready to Move,3,,,16750
216,3200,Ready to Move,2,,,10938
217,2500,Ready to Move,1,,,10000
218,1950,Ready to Move,2,,,4359
219,2060,Ready to Move,1,,,2913
220,200,Ready to Move,2,,,27500
221,750,Under Construction,1,,,3600
223,1650,Ready to Move,2,,,4545
224,1400,Ready to Move,2,,,4643
225,1500,Ready to Move,2,,,3600
226,1400,Ready to Move,2,,,4143
227,1830,Ready to Move,1,,,6831
228,1114,Ready to Move,2,,,4264
229,1265,Ready to Move,2,,,10277
230,1400,Ready to Move,1,,,179
231,0,Ready to Move,3,,,inf
232,155,Ready to Move,0,,,100000
233,960,Ready to Move,2,,,5208
234,3850,Ready to Move,2,,,2506
235,787,Under Construction,1,,,4066
236,2700,Ready to Move,2,,,5741
237,1200,Ready to Move,1,,,4917
238,1550,Ready to Move,1,,,5806
239,600,Under Construction,1,,,4500
240,676,Under Construction,0,,,3772
241,600,Ready to Move,1,,,5333
242,50,Ready to Move,0,,,36000
243,1900,New Launch,,,,3947
244,1799,Under Construction,2,,,2946
246,1099,Under Construction,1,,,3822
247,800,Ready to Move,1,,,4750
248,800,Ready to Move,2,,,6562
249,700,Ready to Move,1,,,6429
250,676,Under Construction,1,,,3550
251,252,Ready to Move,1,,,8333
252,2700,Ready to Move,2,,,4259
253,1170,New Launch,1,,,5385
254,1500,Ready to Move,1,,,7333
255,1800,New Launch,1,,,5833
256,1900,Ready to Move,1,,,1684
257,4200,Ready to Move,4,,,4286
258,938,Ready to Move,0,,,4051
259,787,Under Construction,1,,,3685
260,749,Under Construction,,,,3805
261,1400,Under Construction,2,,,3500
262,420,Ready to Move,3,,,5476
263,3400,Ready to Move,,,,3824
264,700,Ready to Move,2,,,5000
265,700,Ready to Move,0,,,4286
266,1600,Ready to Move,3,,,4062
267,2350,New Launch,,,,4681
268,1250,Ready to Move,6,,,2888
269,1050,Ready to Move,0,,,3429
270,2000,New Launch,,,,3750
271,1700,New Launch,,,,4000
272,1960,New Launch,,,,4082
273,2100,New Launch,,,,5476
274,1500,New Launch,,,,4467
275,600,Under Construction,,,,6083
276,3106,Ready to Move,1,,,5763
278,1100,Ready to Move,1,,,3182
279,1500,Ready to Move,2,,,5000
280,1900,Ready to Move,,,,9211
281,400,Ready to Move,0,,,4375
282,600,New Launch,2,,,5667
283,850,Ready to Move,1,,,5294
284,400,Ready to Move,2,,,30000
285,1290,Under Construction,2,,,4651
286,1000,Ready to Move,2,,,4200
287,750,Ready to Move,2,,,6267
288,1400,Ready to Move,,,,4482
289,1150,Under Construction,1,,,4043
290,677,Under Construction,1,,,3693
291,900,Ready to Move,2,,,7222
292,740,Ready to Move,0,,,2500
293,0,Ready to Move,1,,,inf
294,1650,Ready to Move,1,,,3636
295,130,Ready to Move,2,,,66923
296,5000,Ready to Move,2,,,2760
297,900,Ready to Move,1,,,3889
298,5,Ready to Move,1,,,1100000
299,35,Under Construction,1,,,28571
300,200,Ready to Move,,,,50
301,650,Ready to Move,2,,,5385
302,1500,Ready to Move,1,,,767
303,220,Ready to Move,2,,,3636
304,450,Ready to Move,0,,,4111
305,285,Under Construction,1,,,12281
306,385,Ready to Move,3,,,9351
307,600,Ready to Move,2,,,41667
308,728,New Launch,1,,,6181
309,1500,Ready to Move,0,,,3667
310,400,Ready to Move,1,,,11750
311,400,Ready to Move,1,,,11250
312,400,Ready to Move,2,,,24750
314,1100,Ready to Move,2,,,3591
315,2300,Ready to Move,,,,4783
316,11400,Ready to Move,2,,,833
317,1200,New Launch,0,,,5500
318,800,Ready to Move,1,,,3719
319,900,Ready to Move,2,,,4000
320,900,Ready to Move,1,,,5167
321,600,Ready to Move,1,,,10000
322,500,Ready to Move,1,,,3100
323,450,Ready to Move,,,,889
324,3500,Ready to Move,2,,,5714
325,740,Ready to Move,,,,2500
326,740,Ready to Move,,,,5270
327,2000,Under Construction,3,,,3950
328,1650,Ready to Move,,,,4242
329,300,Ready to Move,3,,,20000
330,500,Ready to Move,0,,,3900
331,600,Ready to Move,2,,,2667
332,1499,Ready to Move,2,,,5670
333,1600,Ready to Move,2,,,5781
334,1130,Ready to Move,,,,4867
335,1250,New Launch,2,,,5160
336,1515,Ready to Move,2,,,2739
337,1715,Ready to Move,2,,,2420
338,1,New Launch,,,,6500000
339,1490,Ready to Move,2,,,5470
340,1450,Ready to Move,2,,,5517
341,2400,Ready to Move,2,,,2292
342,600,Ready to Move,0,,,4083
343,7500,Ready to Move,5,,,5613
344,133,Ready to Move,2,,,26316
345,729,Ready to Move,,,,1125
346,1500,Ready to Move,2,,,1100
347,700,Ready to Move,2,,,6414
348,1000,Ready to Move,,,,5300
349,400,Ready to Move,2,,,8975
350,800,Ready to Move,2,,,11250
351,300,Ready to Move,3,,,36667
354,1717,Ready to Move,2,,,2417
355,2000,Ready to Move,2,,,5506
357,1450,Ready to Move,,,,3931
359,900,Ready to Move,2,,,6111
360,1500,Under Construction,2,,,4067
362,1400,,1,,,6071
363,800,Ready to Move,1,,,3375
365,2100,Ready to Move,2,,,2976
366,40,Ready to Move,4,,,42500
367,100,Ready to Move,1,,,38000
368,750,Ready to Move,2,,,11333
369,1600,Ready to Move,1,,,9375
370,3000,Ready to Move,2,,,9167
371,360,Ready to Move,1,,,5556
372,1100,Ready to Move,3,,,11364
373,750,Ready to Move,2,,,3867
374,900,Ready to Move,2,,,6667
375,1700,Ready to Move,1,,,5176
376,3400,Ready to Move,2,,,5294
377,186,Ready to Move,1,,,215054
378,1250,Ready to Move,1,,,2800
379,30,Ready to Move,1,,,100000
380,1450,Ready to Move,2,,,3793
381,2200,Ready to Move,2,,,6136
382,1980,Ready to Move,,,,3990
383,1710,Under Construction,,,,3392
384,850,Ready to Move,2,,,4118
385,306116,New Launch,,,,13
386,1500,Ready to Move,2,,,3667
387,2000,Ready to Move,2,,,4850
388,1500,Ready to Move,2,,,4000
389,1450,Ready to Move,2,,,3103
390,1100,Ready to Move,2,,,15455
391,2130,Under Construction,,,,3146
392,23000,Ready to Move,1,,,1048
393,900,Under Construction,1,,,3167
394,1250,Ready to Move,1,,,4000
395,1400,Ready to Move,,,,6071
396,1000,Ready to Move,1,,,4500
397,390,Ready to Move,2,,,14103
398,450,Ready to Move,1,,,10000
399,600,Ready to Move,1,,,2833
401,1200,Ready to Move,0,,,4417
402,1600,Ready to Move,2,,,3750
403,2,Ready to Move,,,,7750000
404,600,New Launch,4,,,32500
405,2,Ready to Move,2,,,4250000
406,2,Ready to Move,2,,,3400000
407,2000,Under Construction,,,,3000
408,1550,Ready to Move,2,,,4516
409,450,Ready to Move,1,,,8222
410,2,Ready to Move,2,,,3450000
411,2,Ready to Move,2,,,3500000
412,2,Ready to Move,2,,,3100000
413,2,Ready to Move,2,,,2950000
414,1,Ready to Move,2,,,8200000
415,2,Ready to Move,2,,,2000000
416,3,Ready to Move,2,,,2300000
417,1800,Ready to Move,2,,,4444
418,1600,Ready to Move,2,,,3812
419,1850,Ready to Move,2,,,3513
420,1060,Ready to Move,1,,,4150
421,2200,Ready to Move,2,,,2636
422,1240,,2,,,10
424,900,Ready to Move,3,,,10222
425,1000,Ready to Move,,,,3500
426,1275,Ready to Move,2,,,6275
427,500,Ready to Move,1,,,3200
428,750,New Launch,3,,,12000
429,990,Ready to Move,1,,,3829
430,800,Ready to Move,1,,,7500
431,1250,Ready to Move,1,,,12
432,2200,Ready to Move,2,,,6455
433,1600,Ready to Move,,,,3125
434,272,Ready to Move,,,,90074
436,1850,New Launch,,,,4054
437,1600,Ready to Move,,,,4500
438,1650,New Launch,2,,,4242
439,2050,New Launch,,,,4293
440,2500,Ready to Move,,,,4400
441,1050,Ready to Move,1,,,4190
442,1050,Ready to Move,1,,,4189
444,2500,Ready to Move,2,,,13000
445,200,Ready to Move,2,,,17500
446,800,Ready to Move,2,,,7625
447,700,New Launch,2,,,4143
448,900,Ready to Move,2,,,3000
449,1150,Ready to Move,,,,4174
450,109,Ready to Move,1,,,18349
451,1350,New Launch,4,,,14444
452,200,New Launch,1,,,240000
453,1900,Ready to Move,1,,,4474
454,3000,New Launch,,,,2667
456,2700,Ready to Move,,,,7407
457,2050,Ready to Move,,,,3415
458,1010,Ready to Move,1,,,4653
459,1188,Ready to Move,2,,,13047
460,1200,Ready to Move,2,,,3000
461,11,New Launch,2,,,290909
462,1500,New Launch,0,,,1167
463,660,Ready to Move,2,,,4242
464,4008,Ready to Move,2,,,1697
465,3000,Ready to Move,4,,,50000
466,949,Ready to Move,1,,,6112
467,900,New Launch,1,,,4444
468,900,Ready to Move,1,,,5333
469,810,Ready to Move,1,,,5556
470,450,Ready to Move,1,,,5556
471,350,Ready to Move,,,,7286
472,100,New Launch,1,,,40000
473,24,Ready to Move,2,,,216667
474,70,Under Construction,4,,,71429
475,2200,Ready to Move,2,,,1136
476,1800,Ready to Move,2,,,2222
477,370,Ready to Move,3,,,12973
478,1800,Ready to Move,2,,,5000
481,20000,Ready to Move,,,,10000
482,1100,New Launch,2,,,5182
483,408,Ready to Move,2,,,9314
485,1000,Ready to Move,2,,,16500
486,1200,Ready to Move,2,,,3833
487,850,Ready to Move,2,,,8471
488,30,Ready to Move,3,,,46667
489,1800,Ready to Move,2,,,1000
